Date,Timestamp,Tags,File,Exception
2019-03-04,06:16:54.875851,DBG,fanout.py:199,Node destroyed
2019-03-04,06:16:54.876313,ERROR,fanout.py:218,Creating task
2019-03-04,06:16:54.876756,ERROR,fanout.py:322,Combining logs from all nodes into single log file
 - , - ,  File "./random_traceback.py", line 108, Traceback in get_random_error_string
 - , - ,  File "./random_traceback.py", line 75, Traceback in return_output
 - , - ,  File "./random_traceback.py", line 70, Traceback in extract_metadata
 - , - , ConflictError , - , Data structure not supported
 - , - ,  File "./random_traceback.py", line 98, Traceback in get_random_error_string
 - , - ,  File "./random_traceback.py", line 59, Traceback in get_data
 - , - , ConflictError , - , Conflicting data types
2019-03-04,06:16:54.878715,DBG,wsgi_handler.py:116,Node created
2019-03-04,06:16:54.879442,INFO,db_read.py:58,Node destroyed
2019-03-04,06:16:54.879667,ERROR,http_handler.py:306,Fanning out RPC
2019-03-04,06:16:54.879818,DBG,rpc_client.py:387,Fanning out RPC
 - , - ,  File "./random_traceback.py", line 98, Traceback in get_random_error_string
 - , - ,  File "./random_traceback.py", line 53, Traceback in get_data
 - , - ,  File "./random_traceback.py", line 70, Traceback in extract_metadata
 - , - , InvalidArgumentError , - , Unable to parse arguments
2019-03-04,06:16:54.880214,DBG,scheduler.py:346,Combining logs from all nodes into single log file
2019-03-04,06:16:54.880646,ERROR,publisher.py:376,Gathering node data
2019-03-04,06:16:54.880913,DBG,db_write.py:259,Gathering logs from all nodes
 - , - ,  File "./random_traceback.py", line 108, Traceback in get_random_error_string
 - , - ,  File "./random_traceback.py", line 77, Traceback in return_output
 - , - ,  File "./random_traceback.py", line 55, Traceback in get_data
 - , - ,  File "./random_traceback.py", line 77, Traceback in return_output
 - , - ,  File "./random_traceback.py", line 59, Traceback in get_data
 - , - , ConflictError , - , Data structure not supported
2019-03-04,06:16:54.882708,ERROR,rpc_client.py:303,Gathering node data
2019-03-04,06:16:54.882981,INFO,publisher.py:287,Combining logs from all nodes into single log file
2019-03-04,06:16:54.883105,DBG,ssh_tunnel.py:69,Generated binary file
2019-03-04,06:16:54.883385,DBG,wsgi_handler.py:227,Generated binary file
2019-03-04,06:16:54.884104,ERROR,audit_logger.py:218,Creating task
2019-03-04,06:16:54.884740,INFO,rpc_client.py:199,Generated binary file
2019-03-04,06:16:54.885102,ERROR,protobuf_parser.py:74,Generated binary file
2019-03-04,06:16:54.886196,INFO,alert_manager.py:58,Gathering node data
2019-03-04,06:16:54.886612,INFO,db_read.py:355,Gathering logs from all nodes
2019-03-04,06:16:54.886785,INFO,ssh_tunnel.py:304,Gathering node data
2019-03-04,06:16:54.887008,INFO,db_read.py:329,Generated binary file
 - , - ,  File "./random_traceback.py", line 98, Traceback in get_random_error_string
 - , - ,  File "./random_traceback.py", line 59, Traceback in get_data
 - , - , BadRequestError , - , Special Characters not allowed
2019-03-04,06:16:54.887756,INFO,protobuf_parser.py:51,Node created
2019-03-04,06:16:54.887954,ERROR,task_generator.py:377,Creating task
2019-03-04,06:16:54.888271,DBG,audit_logger.py:213,Node created
2019-03-04,06:16:54.889053,DBG,http_handler.py:174,Gathering logs from all nodes
2019-03-04,06:16:54.889219,INFO,db_write.py:284,Creating task
2019-03-04,06:16:54.889466,ERROR,alert_manager.py:28,Fanning out RPC
