Date,Timestamp,Tags,File,Exception
 - , - , InvalidArgumentError , - , Provided too few arguments
2019-03-04,06:16:55.120369,DBG,task_generator.py:95,Creating task
 - , - ,  File "./random_traceback.py", line 113, Traceback in get_random_error_string
 - , - ,  File "./random_traceback.py", line 88, Traceback in get_attributes
 - , - ,  File "./random_traceback.py", line 88, Traceback in get_attributes
 - , - ,  File "./random_traceback.py", line 88, Traceback in get_attributes
 - , - ,  File "./random_traceback.py", line 92, Traceback in get_attributes
 - , - , BasicAuthRequiredError , - , Authentication not provided
2019-03-04,06:16:55.121539,INFO,audit_logger.py:193,Fanning out RPC
2019-03-04,06:16:55.121720,DBG,db_read.py:133,Creating task
2019-03-04,06:16:55.121889,ERROR,fanout.py:15,Combining logs from all nodes into single log file
2019-03-04,06:16:55.122086,ERROR,task_generator.py:143,Gathering logs from all nodes
2019-03-04,06:16:55.122618,ERROR,protobuf_parser.py:176,Generated binary file
2019-03-04,06:16:55.123317,INFO,scheduler.py:146,Generated binary file
2019-03-04,06:16:55.125150,DBG,audit_logger.py:347,Gathering logs from all nodes
2019-03-04,06:16:55.125663,ERROR,http_handler.py:325,Fanning out RPC
2019-03-04,06:16:55.126339,ERROR,audit_logger.py:271,Combining logs from all nodes into single log file
2019-03-04,06:16:55.127529,DBG,db_read.py:30,Node created
2019-03-04,06:16:55.127749,INFO,wsgi_handler.py:208,Gathering node data
2019-03-04,06:16:55.128823,INFO,audit_logger.py:360,Generated binary file
2019-03-04,06:16:55.129007,INFO,audit_logger.py:390,Gathering logs from all nodes
2019-03-04,06:16:55.130525,INFO,protobuf_parser.py:398,Gathering node data
 - , - ,  File "./random_traceback.py", line 98, Traceback in get_random_error_string
 - , - ,  File "./random_traceback.py", line 55, Traceback in get_data
 - , - ,  File "./random_traceback.py", line 75, Traceback in return_output
 - , - ,  File "./random_traceback.py", line 64, Traceback in extract_metadata
 - , - ,  File "./random_traceback.py", line 86, Traceback in get_attributes
 - , - ,  File "./random_traceback.py", line 59, Traceback in get_data
 - , - , MissingAttributeError , - , Attribute not provided
2019-03-04,06:16:55.132631,INFO,audit_logger.py:310,Generated binary file
2019-03-04,06:16:55.132899,INFO,fanout.py:367,Gathering node data
2019-03-04,06:16:55.133215,INFO,log_collector.py:144,Combining logs from all nodes into single log file
2019-03-04,06:16:55.133483,INFO,http_handler.py:396,Combining logs from all nodes into single log file
2019-03-04,06:16:55.133803,DBG,audit_logger.py:263,Combining logs from all nodes into single log file
2019-03-04,06:16:55.134352,ERROR,log_collector.py:164,Node created
2019-03-04,06:16:55.134677,INFO,fanout.py:352,Gathering logs from all nodes
2019-03-04,06:16:55.135377,ERROR,task_generator.py:170,Generated binary file
 - , - ,  File "./random_traceback.py", line 113, Traceback in get_random_error_string
 - , - ,  File "./random_traceback.py", line 92, Traceback in get_attributes
 - , - , ConflictError , - , Mismatched argumnets
2019-03-04,06:16:55.136322,DBG,db_read.py:20,Fanning out RPC
2019-03-04,06:16:55.137322,INFO,db_write.py:301,Combining logs from all nodes into single log file
2019-03-04,06:16:55.138342,DBG,scheduler.py:369,Fanning out RPC
2019-03-04,06:16:55.138981,DBG,db_write.py:62,Node created
2019-03-04,06:16:55.140983,INFO,fanout.py:163,Combining logs from all nodes into single log file
2019-03-04,06:16:55.142053,ERROR,wsgi_handler.py:110,Combining logs from all nodes into single log file
 - , - ,  File "./random_traceback.py", line 113, Traceback in get_random_error_string
 - , - ,  File "./random_traceback.py", line 92, Traceback in get_attributes
 - , - , InvalidArgumentError , - , Provided too many arguments
2019-03-04,06:16:55.142351,INFO,audit_logger.py:333,Combining logs from all nodes into single log file
 - , - ,  File "./random_traceback.py", line 113, Traceback in get_random_error_string
 - , - ,  File "./random_traceback.py", line 92, Traceback in get_attributes
 - , - , ConflictError , - , Mismatched argumnets
2019-03-04,06:16:55.142888,ERROR,rpc_client.py:344,Node destroyed
 - , - ,  File "./random_traceback.py", line 103, Traceback in get_random_error_string
 - , - ,  File "./random_traceback.py", line 70, Traceback in extract_metadata
 - , - , BasicAuthRequiredError , - , Password not provided
2019-03-04,06:16:55.144013,INFO,task_generator.py:64,Creating task
2019-03-04,06:16:55.144490,DBG,http_handler.py:63,Combining logs from all nodes into single log file
2019-03-04,06:16:55.144699,ERROR,audit_logger.py:334,Node created
2019-03-04,06:16:55.145410,ERROR,protobuf_parser.py:247,Node created
2019-03-04,06:16:55.145810,INFO,wsgi_handler.py:166,Generated binary file
2019-03-04,06:16:55.145879,ERROR,protobuf_parser.py:150,Gathering logs from all nodes
2019-03-04,06:16:55.146013,ERROR,db_read.py:258,Generated binary file
2019-03-04,06:16:55.146565,INFO,audit_logger.py:399,Combining logs from all nodes into single log file
2019-03-04,06:16:55.146635,DBG,publisher.py:174,Creating task
2019-03-04,06:16:55.147024,DBG,publisher.py:79,Node destroyed
 - , - ,  File "./random_traceback.py", line 98, Traceback in get_random_error_string
 - , - ,  File "./random_traceback.py", line 59, Traceback in get_data
 - , - , MissingAttributeError , - , Extra attribute needed
